lon,lat,type,location,address,installed
126.9668366,37.5071564,고정형,명수대현대아파트 횡단보도 앞,서울특별시 동작구 흑석동 10,2019-09-11
126.9667024,37.5072476,고정형,명수대현대아파트 입구 맞은편,서울특별시 동작구 흑석동 43-1,2019-05-15
126.9629201,37.5080847,고정형,흑석빗물펌프장 옆 마을버스정류장,서울특별시 동작구 흑석동 102,2019-05-15
126.9607709,37.5075977,스마트형,중앙대학교병원 앞 교통섬,서울특별시 동작구 흑석동 224,2019-05-15
126.9574187,37.5066105,고정형,중앙대 정문 앞 마을버스정류장,서울특별시 동작구 흑석동 205,2019-05-15
126.9571584,37.5064294,고정형,중앙대 정문 앞 횡단보도,서울특별시 동작구 흑석동 205,2019-05-15
126.9605773,37.5076589,스마트형,중앙대병원 앞 횡단보도 반대편,서울특별시 동작구 흑석동 184,2019-09-11
126.9618556,37.5089027,고정형,아크로리버하임아파트 한강리치부동,서울특별시 동작구 흑석동 163,2019-09-11
126.9627394,37.5096535,고정형,아크로리버하임 101동 앞 횡단보도,서울특별시 동작구 흑석동 163,2019-09-11
126.9636427,37.5092604,고정형,흑석동 원불교 총단 앞 횡단보도,서울특별시 동작구 흑석동 1-18,2019-09-11
126.9608092,37.5033394,고정형,은로초등학교 앞 횡단보도,서울특별시 동작구 흑석동 340,2019-09-11
126.960858,37.505621,고정형,중대부속초등학교 정문,서울특별시 동작구 흑석동 228,2019-09-11
126.96546,37.5045069,고정형,큰별어린이집 횡단보도 반대편 쪽,서울특별시 동작구 흑석동 336,2019-09-11
126.9539744,37.5049653,스마트형,(위치미상),서울특별시 동작구 흑석동 211,2022-05-23
126.9603,37.501,스마트형,흑석자이아파트 3게이트 횡단보도,서울특별시 동작구 흑석동 253,2023-07-17
126.9637,37.5086,스마트형,흑석역 3~4번 출구 횡단보도,서울특별시 동작구 흑석동 4,2023-07-17
126.9607,37.5042,스마트형,중대부중 정문 맞은편,서울특별시 동작구 흑석동 86,2023-07-17
126.9602,37.501,스마트형,흑석자이 3게이트 횡단보도 맞은편,서울특별시 동작구 흑석동 253,2023-07-17
